id,section_number,section_title,subsection_id,subsection_title,content_type,title,description,placeholder,notes
1,أولاً,الإحصاء الوصفي لمتغيرات البحث,1.0,مقدمة القسم,نص,مقدمة الإحصاء الوصفي,"توضيح المتوسطات الحسابية والانحرافات المعيارية لأدوات البحث",NONE,نص تمهيدي
2,أولاً,الإحصاء الوصفي لمتغيرات البحث,1.1,جدول (1) مقياس حل المشكلات,جدول,الإحصاء الوصفي لمقياس حل المشكلات,"جدول يوضح المتوسطات والانحرافات المعيارية للمجموعات الأربع في مقياس حل المشكلات",STATS,محتاج SPSS Descriptive Statistics
3,أولاً,الإحصاء الوصفي لمتغيرات البحث,1.2,جدول (2) مقياس التدفق الذهني,جدول,الإحصاء الوصفي لمقياس التدفق الذهني (الدرجة الكلية),"جدول يوضح المتوسطات والانحرافات المعيارية للمجموعات الأربع في الدرجة الكلية لمقياس التدفق الذهني",STATS,محتاج SPSS Descriptive Statistics
3.5,أولاً,الإحصاء الوصفي لمتغيرات البحث,1.2أ,جدول (2أ) أبعاد التدفق الذهني,جدول,الإحصاء الوصفي للأبعاد الثمانية للتدفق الذهني,"جدول يوضح المتوسطات لكل بُعد من الأبعاد الثمانية (نموذج أباظة 2011) للمجموعات الأربع",STATS,8 أبعاد x 4 مجموعات - مستند إلى الإطار النظري
4,أولاً,الإحصاء الوصفي لمتغيرات البحث,1.3,شكل (1),شكل,التمثيل البياني لحل المشكلات,"مخطط أعمدة لمتوسطات المجموعات الأربع في مقياس حل المشكلات",FIGURES,Bar Chart
5,أولاً,الإحصاء الوصفي لمتغيرات البحث,1.4,شكل (2),شكل,التمثيل البياني للتدفق الذهني,"مخطط أعمدة لمتوسطات المجموعات الأربع في مقياس التدفق الذهني",FIGURES,Bar Chart
6,أولاً,الإحصاء الوصفي لمتغيرات البحث,1.5,تحليل الإحصاء الوصفي,نص,تحليل المتوسطات,"تحليل مقارنة المتوسطات بين المجموعات الأربع للمقياسين",STATS,نص تحليلي بعد الجداول
7,ثانيًا,عرض النتائج الخاصة بأسئلة البحث,2.0,مقدمة عرض النتائج,نص,مقدمة القسم,"توضيح منهج الإجابة على أسئلة البحث الأربعة",NONE,نص تمهيدي
8,ثانيًا,عرض النتائج الخاصة بأسئلة البحث,2.1,السؤال الأول,نص,معايير التصميم,"ما معايير تصميم بيئة التعلم الإلكتروني القائمة على نمط حشد المصادر وزمنه - 8 محاور و63 مؤشرًا",NONE,قائمة المعايير في ملحق - مستخرجة من الفصل الثاني
9,ثانيًا,عرض النتائج الخاصة بأسئلة البحث,2.2,السؤال الثاني,نص,التصميم التعليمي,"ما التصميم التعليمي لبيئة التعلم باستخدام نموذج خميس 2015",NONE,نموذج خميس 5 مراحل
10,ثانيًا,عرض النتائج الخاصة بأسئلة البحث,2.3,السؤال الثالث,نص,الأثر على حل المشكلات,"إحالة إلى الفروض 1-3 في قسم اختبار الفروض",NONE,إحالة فقط
11,ثانيًا,عرض النتائج الخاصة بأسئلة البحث,2.4,السؤال الرابع,نص,الأثر على التدفق الذهني,"إحالة إلى الفروض 4-6 في قسم اختبار الفروض",NONE,إحالة فقط
12,ثالثًا,اختبار صحة فروض البحث,3.0,مقدمة اختبار الفروض,نص,مقدمة القسم,"توضيح استخدام Two-way ANOVA لاختبار الفروض الستة",NONE,نص تمهيدي
