task_id,sub_plan,task_name,priority,status,depends_on,notes
4.1,4_تطوير_المحتوى,"وصف المقدمة: ترحيب + عنوان + تعليمات + محتويات + شروط + رابط اختبار قبلي",عالية,pending,,
4.2,4_تطوير_المحتوى,"وصف الأدوات القبلية: اختبار مهارات حل المشكلات + مقياس التدفق عبر Google Forms — إلزامي",عالية,pending,,ليس اختبار تحصيلي! اسمه اختبار مهارات حل المشكلات
4.3,4_تطوير_المحتوى,وصف عرض الأهداف: صفحة بداية كل وحدة (ABCD),متوسطة,pending,,
4.4,4_تطوير_المحتوى,"وصف النصوص: كتاب مدرسي (فلسفة صف أول ثانوي وحدة أولى) + تقسيم + أمثلة + محكمين",عالية,pending,,
4.5,4_تطوير_المحتوى,"وصف أنشطة الحشد: م1(فردي+لا deadline) م2(فردي+deadline) م3(Docs مشترك+لا deadline) م4(Docs مشترك+deadline)",عالية,pending,,
4.6,4_تطوير_المحتوى,"الوسائط: فيديو (بنك المعرفة) + إنفوجرافيك (Canva) + صور + نصوص",متوسطة,pending,,
4.7,4_تطوير_المحتوى,"الخاتمة: ملخص وحدة + تدريبات (5-7) + رابط بعدي + مراجع",متوسطة,pending,,
4.8,4_تطوير_المحتوى,"مقياس التدفق (2-3 صفحات): هدف + 8 أبعاد أباظة + عبارات + ليكرت + محكمين + صدق + ثبات + صورة نهائية",عالية,pending,,محاكاة بناء الأداة كما فعلت الدكتورة ص99-115
4.9,4_تطوير_المحتوى,"اختبار مهارات حل المشكلات (3-4 صفحات): هدف + 5 مهارات + جدول مواصفات (موضوعات×مهارات) + أنواع أسئلة + محكمين + جدول قبل/بعد + تحليل + صدق + ثبات + زمن + صورة نهائية",عالية,pending,,ليس اختبار تحصيلي — يقيس مهارات حل المشكلات الفلسفية
4.10,4_تطوير_المحتوى,لقطات شاشة: 6-8 لقطات بعد بناء البيئة فعلاً,عالية,pending,,
