========================================================================
       تقرير المراجعة اليدوية الشاملة للمراجع
       تاريخ المراجعة: 2026-03-02
========================================================================

تم مراجعة كل استشهاد في المتن (الإطار النظري) يدوياً ومقارنته بقائمة المراجع النهائية.

========================================================================
أولاً: المراجع العربية المستشهد بها في المتن
========================================================================

# | الاستشهاد في المتن                    | موجود في القائمة؟ | المرجع المقابل في القائمة
--|----------------------------------------|-------------------|---------------------------
1 | خميس (2018)                            | ✅ نعم            | خميس، محمد عطية. (2018). بيئات التعلم الإلكتروني.
2 | الغامدي وعافشي (2018)                  | ✅ نعم            | الغامدي، منى سعد، وعافشى، ابتسام عباس. (2018).
3 | عبد الغفار (2018)                      | ✅ نعم            | سرحان، أحمد محمد عبد الغفار. (2018). [ملاحظة: في المتن يُستشهد به بـ"عبد الغفار" بينما في القائمة الاسم الأول هو "سرحان"]
4 | خميس (2020)                            | ✅ نعم            | خميس، محمد عطية. (2020). اتجاهات حديثة في تكنولوجيا التعليم.
5 | خميس (2015)                            | ❌ لا             | [غير موجود في القائمة - يُشار إليه كـ"محمد خميس (2015، ص. 79)" لكن لا يوجد مرجع خميس 2015]
6 | نبيل السيد (2021)                      | ✅ نعم            | محمد، نبيل السيد. (2021).
7 | شرين السيد ووفاء محمود (2022)          | ✅ نعم            | السيد، شرين ابراهيم، ورجب، وفاء محمود. (2022).
8 | محمد وآخرون (2024)                     | ✅ نعم            | محمد، أحمد عبد الرحمن عبد الله، وإبراهيم، وائل يسري... (2024).
9 | عزمي (2014)                            | ✅ نعم            | عزمي، نبيل جاد. (2014). بيئات التعلم التفاعلية.
10| حجازي والعطار (2024)                   | ✅ نعم            | حجازي، طارق عبد المنعم...، والعطار، أحمد سعيد سالم. (2024).
11| عمار (2023)                            | ✅ نعم            | عمار، حنان صالح محمد. (2023).
12| المعتصم (2024)                         | ✅ نعم            | المعتصم، أميرة محمد. (2024).
13| أباصيري (2024)                         | ✅ نعم            | أباصيري، محمد بلال أ. (2024).
14| وهبه (2024)                            | ✅ نعم            | وهبه، حسام فتحي سمير وهبة. (2024).
15| وهبه (2023)                            | ❌ لا             | [غير موجود في القائمة - يُذكر في المتن دراسة وهبه 2023 لكن القائمة تحتوي فقط على وهبه 2024]
16| مرسي (2024)                            | ❌ لا             | [غير موجود في القائمة]
17| بلال (2024)                            | ❌ لا             | [غير موجود - يبدو أنه اسم مختصر لـ أباصيري محمد بلال (2024) لكن الاستشهاد منفصل]
18| كرسون وآخرون (2025)                    | ❌ لا             | [غير موجود في القائمة]
19| حسن (2021)                             | ✅ نعم [تأكّد]    | = محمد، نبيل السيد. (2021). نفس المرجع مُستشهد باسم مختلف
20| خليل ورجب (2022)                       | ✅ نعم [تأكّد]    | = السيد، شرين ابراهيم، ورجب، وفاء محمود. (2022). نفس المرجع
21| خميس وآخرون (2022)                     | ❌ لا             | [غير موجود في القائمة]
22| مصطفي (2023)                           | ❌ لا             | [غير موجود - يبدو مشابهاً لـ "شيماء مصطفى محمد وآخرون (2023)" = إبراهيم وآخرون 2023]
23| عبدالله (2023)                         | ❌ لا             | [غير موجود في القائمة]
24| السيد والشربيني (2023)                 | ❌ لا             | [غير موجود في القائمة]
25| السيد وآخرون (2023)                    | ❌ لا             | [غير موجود في القائمة]
26| عبد المعبود (2023)                     | ❌ لا             | [غير موجود في القائمة]
27| ربيع (2023)                            | ❌ لا             | [غير موجود في القائمة]
28| عبد الله وسالم (2024)                  | ❌ لا             | [غير موجود في القائمة]
29| خليفة ومحمد (2024)                     | ❌ لا             | [غير موجود في القائمة]
30| سالم وهداية (2024)                     | ❌ لا             | [غير موجود في القائمة]
31| الدوسري وآخرون (2025)                  | ❌ لا             | [غير موجود في القائمة]
32| نبيل السيد (2013)                      | ✅ نعم            | محمد، نبيل السيد. (2013).
33| شحاتة (2003) / حسن شحاتة (2003)       | ✅ نعم            | شحاته، حسن، والنجار، زينب. (2003).
34| أباظة (2011)                           | ✅ نعم            | أباظة، أمل عبد السميع. (2011).
35| أباظة (2012)                           | ✅ نعم            | أباظة، أمل عبد السميع. (2012). [ملاحظة: لا يُستشهد بها مباشرة في المتن المعروض]
36| أبو حلاوة (2013)                       | ✅ نعم            | أبو حلاوة، محمد سيد عبد. (2013).
37| شيماء مصطفى محمد وآخرون (2023)         | ✅ نعم            | إبراهيم، شيماء مصطفى محمد... (2023).
38| أبو عواد (2015)                        | ✅ نعم            | عواد، مي أبو. (2015).
39| هند عباس (2017)                        | ✅ نعم            | عباس، هند أحمد. (2017).
40| عبد العزيز طلبة وآخرون (2020)          | ✅ نعم            | عبد الحميد، عبد العزيز طلبة، والمغاوري، تامر... (2020).
41| أسماء عبد الصمد (2018)                 | ✅ نعم            | عبد الصمد، أسماء السيد. (2018).
42| ذكريا حناوي (2019)                     | ✅ نعم            | حناوي، ذكريا جابر. (2019).
43| الرفاعي (2018)                         | ✅ نعم            | الرفاعي، صباح قاسم. (2018).
44| بكر (2015)                             | ✅ نعم            | بكر، عبد الحميد مصطفى. (2015). [ملاحظة: لا يُستشهد بها مباشرة في المتن]
45| وليد يوسف (2020)                       | ❌ لا             | [غير موجود في القائمة]
46| محمود (2015)                           | ❌ لا             | [غير موجود في القائمة]
47| العطار (2019)                          | ❌ لا             | [غير موجود في القائمة]
48| العبيدي (2016)                         | ❌ لا             | [غير موجود في القائمة]
49| بقعة وقارني (2018)                     | ❌ لا             | [غير موجود في القائمة]
50| قطامي (2007)                           | ❌ لا             | [غير موجود في القائمة]
51| نهاري بن ياسين (2012)                  | ❌ لا             | [غير موجود في القائمة]
52| أيمن الجوهري (2012)                    | ❌ لا             | [غير موجود في القائمة]
53| عبد العال (2023)                       | ❌ لا             | [غير موجود - يُذكر في سياق المعايير فقط]

========================================================================
ثانياً: المراجع الأجنبية المستشهد بها في المتن
========================================================================

# | الاستشهاد في المتن                    | موجود في القائمة؟ | المرجع المقابل
--|----------------------------------------|-------------------|---------------------------
1 | Howe (2006)                            | ✅ نعم            | Howe, J. (2006).
2 | Howe (2008)                            | ✅ نعم            | Howe, J. (2008).
3 | Andriole (2010)                        | ✅ نعم            | Andriole, S. J. (2010).
4 | Solemon et al. (2013)                  | ✅ نعم            | Solemon, B., et al. (2013).
5 | Paulin & Haythornthwaite (2016)        | ✅ نعم            | Paulin, D., & Haythornthwaite, C. (2016).
6 | Estellés et al. (2019)                 | ✅ نعم            | Estellés-Arolas, E., et al. (2019).
7 | Jiang & Daniel (2018)                  | ✅ نعم            | Jiang, Y., & Daniel, S. (2018).
8 | Tarrell et al. (2013)                  | ✅ نعم            | Tarrell, A., et al. (2013).
9 | Bozzon et al. (2013)                   | ✅ نعم            | Bozzon, A., et al. (2013).
10| Dang et al. (2013)                     | ✅ نعم            | Dang, H., et al. (2013).
11| Anderson (2011)                        | ✅ نعم            | Anderson, M. (2011).
12| Estellés-Arolas & González (2012)      | ✅ نعم            | Estellés-Arolas, E., & González-Ladrón-de-Guevara, F. (2012).
13| Hutter et al. (2011)                   | ✅ نعم            | Hutter, K., et al. (2011).
14| Pénin & Burger-Helmchen (2011)         | ✅ نعم            | Pénin, J., & Burger-Helmchen, T. (2011).
15| Reichwald & Piller (2006)              | ✅ نعم            | Reichwald, R., & Piller, F. (2006).
16| Weld et al. (2012)                     | ✅ نعم            | Weld, D. S., et al. (2012).
17| Zuchowski et al. (2016)                | ✅ نعم            | Zuchowski, O., et al. (2016).
18| Adesina (2013)                         | ✅ نعم            | Adesina, A. (2013).
19| Castro & Tumibay (2021)                | ✅ نعم            | Castro, M. D. B., & Tumibay, G. M. (2021).
20| Wilson (2018)                          | ✅ نعم            | Wilson, M. C. (2018).
21| Hills (2015)                           | ✅ نعم            | Hills, T. (2015).
22| Hutchins (1995)                        | ✅ نعم            | Hutchins, E. (1995).
23| Ellis (2019)                           | ✅ نعم            | Ellis, N. C. (2019).
24| Gutierrez-Serrano et al. (2022)        | ✅ نعم            | Gutierrez-Serrano, G., et al. (2022).
25| Kaufmann et al. (2011)                 | ✅ نعم            | Kaufmann, N., et al. (2011).
26| Cai (2016)                             | ✅ نعم            | Cai, L. (2016).
27| Downes (2019)                          | ✅ نعم            | Downes, S. (2019).
28| Goldie (2016)                          | ✅ نعم            | Goldie, J. G. S. (2016).
